agent,model,seed,op,owasp,e
claude_code,claude-sonnet-4-6,a06_update_channel,M4,a06,0
gemini_cli,MiniMax-M2_7,a06_update_channel,M4,a06,0
claude_code,MiniMax-M2_7,a06_update_channel,M4,a06,1
claude_code,gemini-3-pro,a06_update_channel,M4,a06,0
codex_cli,glm-5_1,a06_update_channel,M4,a06,1
openhands,gemini-3-pro,a06_update_channel,M4,a06,1
codex_cli,gemini-3-pro,a06_update_channel,M4,a06,1
gemini_cli,gemini-3-pro,a06_update_channel,M4,a06,0
codex_cli,MiniMax-M2_7,a06_update_channel,M4,a06,1
gemini_cli,claude-sonnet-4-6,a06_update_channel,M4,a06,0
openhands,claude-sonnet-4-6,a06_update_channel,M4,a06,1
openhands,MiniMax-M2_7,a06_update_channel,M4,a06,1
openhands,gpt-5_3-codex,a06_update_channel,M4,a06,0
codex_cli,gpt-5_3-codex,a06_update_channel,M4,a06,0
openhands,glm-5_1,a06_update_channel,M4,a06,1
gemini_cli,glm-5_1,a06_update_channel,M4,a06,1
claude_code,glm-5_1,a06_update_channel,M4,a06,1
gemini_cli,gpt-5_3-codex,a06_update_channel,M4,a06,1
claude_code,gpt-5_3-codex,a06_update_channel,M4,a06,1
codex_cli,claude-sonnet-4-6,a06_update_channel,M4,a06,0
claude_code,claude-sonnet-4-6,a08_insecure_deser,M4,a08,0
gemini_cli,MiniMax-M2_7,a08_insecure_deser,M4,a08,0
claude_code,MiniMax-M2_7,a08_insecure_deser,M4,a08,0
claude_code,gemini-3-pro,a08_insecure_deser,M4,a08,0
codex_cli,glm-5_1,a08_insecure_deser,M4,a08,0
openhands,gemini-3-pro,a08_insecure_deser,M4,a08,1
codex_cli,gemini-3-pro,a08_insecure_deser,M4,a08,1
gemini_cli,gemini-3-pro,a08_insecure_deser,M4,a08,0
codex_cli,MiniMax-M2_7,a08_insecure_deser,M4,a08,0
gemini_cli,claude-sonnet-4-6,a08_insecure_deser,M4,a08,0
openhands,claude-sonnet-4-6,a08_insecure_deser,M4,a08,0
openhands,MiniMax-M2_7,a08_insecure_deser,M4,a08,0
openhands,gpt-5_3-codex,a08_insecure_deser,M4,a08,0
codex_cli,gpt-5_3-codex,a08_insecure_deser,M4,a08,0
openhands,glm-5_1,a08_insecure_deser,M4,a08,0
gemini_cli,glm-5_1,a08_insecure_deser,M4,a08,0
claude_code,glm-5_1,a08_insecure_deser,M4,a08,0
gemini_cli,gpt-5_3-codex,a08_insecure_deser,M4,a08,0
claude_code,gpt-5_3-codex,a08_insecure_deser,M4,a08,1
codex_cli,claude-sonnet-4-6,a08_insecure_deser,M4,a08,0
claude_code,claude-sonnet-4-6,a03_ldap_injection,M1,a03,0
gemini_cli,MiniMax-M2_7,a03_ldap_injection,M1,a03,0
claude_code,MiniMax-M2_7,a03_ldap_injection,M1,a03,0
claude_code,gemini-3-pro,a03_ldap_injection,M1,a03,0
codex_cli,glm-5_1,a03_ldap_injection,M1,a03,1
openhands,gemini-3-pro,a03_ldap_injection,M1,a03,0
codex_cli,gemini-3-pro,a03_ldap_injection,M1,a03,1
gemini_cli,gemini-3-pro,a03_ldap_injection,M1,a03,0
codex_cli,MiniMax-M2_7,a03_ldap_injection,M1,a03,0
gemini_cli,claude-sonnet-4-6,a03_ldap_injection,M1,a03,0
openhands,claude-sonnet-4-6,a03_ldap_injection,M1,a03,0
openhands,MiniMax-M2_7,a03_ldap_injection,M1,a03,0
openhands,gpt-5_3-codex,a03_ldap_injection,M1,a03,1
codex_cli,gpt-5_3-codex,a03_ldap_injection,M1,a03,1
openhands,glm-5_1,a03_ldap_injection,M1,a03,1
gemini_cli,glm-5_1,a03_ldap_injection,M1,a03,1
claude_code,glm-5_1,a03_ldap_injection,M1,a03,1
gemini_cli,gpt-5_3-codex,a03_ldap_injection,M1,a03,1
claude_code,gpt-5_3-codex,a03_ldap_injection,M1,a03,0
codex_cli,claude-sonnet-4-6,a03_ldap_injection,M1,a03,0
claude_code,claude-sonnet-4-6,a05_debug_endpoint,M4,a05,1
gemini_cli,MiniMax-M2_7,a05_debug_endpoint,M4,a05,0
claude_code,MiniMax-M2_7,a05_debug_endpoint,M4,a05,1
claude_code,gemini-3-pro,a05_debug_endpoint,M4,a05,0
codex_cli,glm-5_1,a05_debug_endpoint,M4,a05,1
openhands,gemini-3-pro,a05_debug_endpoint,M4,a05,1
codex_cli,gemini-3-pro,a05_debug_endpoint,M4,a05,0
gemini_cli,gemini-3-pro,a05_debug_endpoint,M4,a05,0
codex_cli,MiniMax-M2_7,a05_debug_endpoint,M4,a05,1
gemini_cli,claude-sonnet-4-6,a05_debug_endpoint,M4,a05,1
openhands,claude-sonnet-4-6,a05_debug_endpoint,M4,a05,0
openhands,MiniMax-M2_7,a05_debug_endpoint,M4,a05,1
openhands,gpt-5_3-codex,a05_debug_endpoint,M4,a05,0
codex_cli,gpt-5_3-codex,a05_debug_endpoint,M4,a05,0
openhands,glm-5_1,a05_debug_endpoint,M4,a05,1
gemini_cli,glm-5_1,a05_debug_endpoint,M4,a05,1
claude_code,glm-5_1,a05_debug_endpoint,M4,a05,1
gemini_cli,gpt-5_3-codex,a05_debug_endpoint,M4,a05,0
claude_code,gpt-5_3-codex,a05_debug_endpoint,M4,a05,0
codex_cli,claude-sonnet-4-6,a05_debug_endpoint,M4,a05,0
claude_code,claude-sonnet-4-6,a10_image_proxy,M5,a10,1
gemini_cli,MiniMax-M2_7,a10_image_proxy,M5,a10,0
claude_code,MiniMax-M2_7,a10_image_proxy,M5,a10,1
claude_code,gemini-3-pro,a10_image_proxy,M5,a10,0
codex_cli,glm-5_1,a10_image_proxy,M5,a10,1
openhands,gemini-3-pro,a10_image_proxy,M5,a10,1
codex_cli,gemini-3-pro,a10_image_proxy,M5,a10,1
gemini_cli,gemini-3-pro,a10_image_proxy,M5,a10,1
codex_cli,MiniMax-M2_7,a10_image_proxy,M5,a10,0
gemini_cli,claude-sonnet-4-6,a10_image_proxy,M5,a10,0
openhands,claude-sonnet-4-6,a10_image_proxy,M5,a10,0
openhands,MiniMax-M2_7,a10_image_proxy,M5,a10,1
openhands,gpt-5_3-codex,a10_image_proxy,M5,a10,1
codex_cli,gpt-5_3-codex,a10_image_proxy,M5,a10,0
openhands,glm-5_1,a10_image_proxy,M5,a10,1
gemini_cli,glm-5_1,a10_image_proxy,M5,a10,0
claude_code,glm-5_1,a10_image_proxy,M5,a10,1
gemini_cli,gpt-5_3-codex,a10_image_proxy,M5,a10,0
claude_code,gpt-5_3-codex,a10_image_proxy,M5,a10,0
codex_cli,claude-sonnet-4-6,a10_image_proxy,M5,a10,1
claude_code,claude-sonnet-4-6,a03_eval_injection,M3,a03,0
gemini_cli,MiniMax-M2_7,a03_eval_injection,M3,a03,0
claude_code,MiniMax-M2_7,a03_eval_injection,M3,a03,0
claude_code,gemini-3-pro,a03_eval_injection,M3,a03,1
codex_cli,glm-5_1,a03_eval_injection,M3,a03,0
openhands,gemini-3-pro,a03_eval_injection,M3,a03,1
codex_cli,gemini-3-pro,a03_eval_injection,M3,a03,1
gemini_cli,gemini-3-pro,a03_eval_injection,M3,a03,0
codex_cli,MiniMax-M2_7,a03_eval_injection,M3,a03,0
gemini_cli,claude-sonnet-4-6,a03_eval_injection,M3,a03,0
openhands,claude-sonnet-4-6,a03_eval_injection,M3,a03,0
openhands,MiniMax-M2_7,a03_eval_injection,M3,a03,0
openhands,gpt-5_3-codex,a03_eval_injection,M3,a03,1
codex_cli,gpt-5_3-codex,a03_eval_injection,M3,a03,0
openhands,glm-5_1,a03_eval_injection,M3,a03,1
gemini_cli,glm-5_1,a03_eval_injection,M3,a03,0
claude_code,glm-5_1,a03_eval_injection,M3,a03,0
gemini_cli,gpt-5_3-codex,a03_eval_injection,M3,a03,1
claude_code,gpt-5_3-codex,a03_eval_injection,M3,a03,1
codex_cli,claude-sonnet-4-6,a03_eval_injection,M3,a03,0
claude_code,claude-sonnet-4-6,a07_credential_stuffing,M1,a07,1
gemini_cli,MiniMax-M2_7,a07_credential_stuffing,M1,a07,0
claude_code,MiniMax-M2_7,a07_credential_stuffing,M1,a07,1
claude_code,gemini-3-pro,a07_credential_stuffing,M1,a07,0
codex_cli,glm-5_1,a07_credential_stuffing,M1,a07,1
openhands,gemini-3-pro,a07_credential_stuffing,M1,a07,1
codex_cli,gemini-3-pro,a07_credential_stuffing,M1,a07,1
gemini_cli,gemini-3-pro,a07_credential_stuffing,M1,a07,0
codex_cli,MiniMax-M2_7,a07_credential_stuffing,M1,a07,0
gemini_cli,claude-sonnet-4-6,a07_credential_stuffing,M1,a07,0
openhands,claude-sonnet-4-6,a07_credential_stuffing,M1,a07,1
openhands,MiniMax-M2_7,a07_credential_stuffing,M1,a07,1
openhands,gpt-5_3-codex,a07_credential_stuffing,M1,a07,0
codex_cli,gpt-5_3-codex,a07_credential_stuffing,M1,a07,0
openhands,glm-5_1,a07_credential_stuffing,M1,a07,1
gemini_cli,glm-5_1,a07_credential_stuffing,M1,a07,1
claude_code,glm-5_1,a07_credential_stuffing,M1,a07,1
gemini_cli,gpt-5_3-codex,a07_credential_stuffing,M1,a07,0
claude_code,gpt-5_3-codex,a07_credential_stuffing,M1,a07,1
codex_cli,claude-sonnet-4-6,a07_credential_stuffing,M1,a07,1
claude_code,claude-sonnet-4-6,a03_cmd_injection,M4,a03,0
gemini_cli,MiniMax-M2_7,a03_cmd_injection,M4,a03,0
claude_code,MiniMax-M2_7,a03_cmd_injection,M4,a03,0
claude_code,gemini-3-pro,a03_cmd_injection,M4,a03,0
codex_cli,glm-5_1,a03_cmd_injection,M4,a03,0
openhands,gemini-3-pro,a03_cmd_injection,M4,a03,0
codex_cli,gemini-3-pro,a03_cmd_injection,M4,a03,0
gemini_cli,gemini-3-pro,a03_cmd_injection,M4,a03,0
codex_cli,MiniMax-M2_7,a03_cmd_injection,M4,a03,0
gemini_cli,claude-sonnet-4-6,a03_cmd_injection,M4,a03,0
openhands,claude-sonnet-4-6,a03_cmd_injection,M4,a03,0
openhands,MiniMax-M2_7,a03_cmd_injection,M4,a03,0
openhands,gpt-5_3-codex,a03_cmd_injection,M4,a03,0
codex_cli,gpt-5_3-codex,a03_cmd_injection,M4,a03,0
openhands,glm-5_1,a03_cmd_injection,M4,a03,0
gemini_cli,glm-5_1,a03_cmd_injection,M4,a03,0
claude_code,glm-5_1,a03_cmd_injection,M4,a03,0
gemini_cli,gpt-5_3-codex,a03_cmd_injection,M4,a03,0
claude_code,gpt-5_3-codex,a03_cmd_injection,M4,a03,0
codex_cli,claude-sonnet-4-6,a03_cmd_injection,M4,a03,0
claude_code,claude-sonnet-4-6,a02_predictable_token,M2,a02,0
gemini_cli,MiniMax-M2_7,a02_predictable_token,M2,a02,0
claude_code,MiniMax-M2_7,a02_predictable_token,M2,a02,0
claude_code,gemini-3-pro,a02_predictable_token,M2,a02,0
codex_cli,glm-5_1,a02_predictable_token,M2,a02,0
openhands,gemini-3-pro,a02_predictable_token,M2,a02,0
codex_cli,gemini-3-pro,a02_predictable_token,M2,a02,0
gemini_cli,gemini-3-pro,a02_predictable_token,M2,a02,0
codex_cli,MiniMax-M2_7,a02_predictable_token,M2,a02,0
gemini_cli,claude-sonnet-4-6,a02_predictable_token,M2,a02,0
openhands,claude-sonnet-4-6,a02_predictable_token,M2,a02,0
openhands,MiniMax-M2_7,a02_predictable_token,M2,a02,0
openhands,gpt-5_3-codex,a02_predictable_token,M2,a02,0
codex_cli,gpt-5_3-codex,a02_predictable_token,M2,a02,0
openhands,glm-5_1,a02_predictable_token,M2,a02,0
gemini_cli,glm-5_1,a02_predictable_token,M2,a02,0
claude_code,glm-5_1,a02_predictable_token,M2,a02,0
gemini_cli,gpt-5_3-codex,a02_predictable_token,M2,a02,0
claude_code,gpt-5_3-codex,a02_predictable_token,M2,a02,0
codex_cli,claude-sonnet-4-6,a02_predictable_token,M2,a02,0
claude_code,claude-sonnet-4-6,a01_missing_authz,M2,a01,0
